logline	The supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life.
tagline	It's big for a reason.
tagline	This November, the battle between good and evil will blow your mind.
tagline	Ferrell vs Pitt
tagline	The Superhero Movie Will Never Be The Same
tagline	What if the bad guy won?
tagline	Giving bad a good name.
tagline	Heroes aren't born... they're made.
tagline	What if these guys had to save the world?
tagline	Bad. Blue. Brilliant.
tagline	Heroes aren't born. They're made.
tagline	A superhero movie with a mind of its own
tagline	His brain is off the chain
