year	2011
imdb score	8.3
meta score	71
genre	Drama
genre	Sport
keyword	alcoholic
keyword	mixed martial arts
keyword	tournament
keyword	return home
keyword	warrior
keyword	underdog
keyword	character repeating someone else's dialogue
keyword	martial arts
keyword	muscleman
keyword	slot machine
keyword	punched in the stomach
keyword	atlantic city new jersey
keyword	el paso texas
keyword	war hero
keyword	knocked out
keyword	violence
keyword	cassette player
keyword	drug addiction
keyword	iraq
keyword	drive in theater
keyword	fighting movie
keyword	cellphone video
keyword	black eye
keyword	bare chested male
keyword	husband wife relationship
keyword	absence from work
keyword	high school
keyword	bank foreclosure
keyword	kicked in the face
keyword	prize fighter
keyword	split screen
keyword	reference to isaac newton
keyword	casino
keyword	bank
keyword	father son relationship
keyword	war widow
keyword	high school principal
keyword	montage
keyword	high school teacher
keyword	philadelphia pennsylvania
keyword	awol
keyword	ex soldier
keyword	alcoholic relapse
keyword	character says i love you
keyword	news report
keyword	beach
keyword	physics teacher
keyword	punched in the face
keyword	trainer
keyword	hairy chest
keyword	beethoven
keyword	dislocated shoulder
keyword	estranged brother
keyword	training
keyword	pseudonym
keyword	gym
keyword	alcoholics anonymous
keyword	choke hold
keyword	youtube
keyword	reference to moby dick
keyword	strongman
keyword	u.s. marine
keyword	birthday party
keyword	kicked in the chest
keyword	pittsburgh pennsylvania
keyword	one word title
keyword	brother brother relationship
keyword	f word
cast	Joel Edgerton	Brendan Conlon
cast	Tom Hardy	Tommy Conlon
cast	Nick Nolte	Paddy Conlon
cast	Jennifer Morrison	Tess Conlon
cast	Frank Grillo	Frank Campana
cast	Kevin Dunn	Principal Zito
cast	Maximiliano Hernández	Colt Boyd
cast	Bryan Callen	Bryan Callen
cast	Sam Sheridan	Sam Sheridan
cast	Fernando Chien	Fenroy
cast	Jake McLaughlin	Mark Bradford
cast	Vanessa Martinez	Pilar Fernandez
cast	Denzel Whitaker	Stephon
cast	Carlos Miranda	Tito
cast	Nick Lehane	Nash
cast	Laura Chinn	KC
cast	Capri Thomas	Emily Conlon
cast	Lexi Cowan	Rosie Conlon
cast	Noah Emmerich	Dan Taylor
cast	Dan Caldwell	Dan Caldwell
cast	Tim Katz	Tim Katz
cast	Julia Stockstad	J.J. Riley's Assistant
cast	Josh Rosenthal	Referee Josh Rosenthal
cast	Kurt Angle	Koba
cast	Erik Apple	Pete 'Mad Dog' Grimes
cast	Anthony Johnson	Orlando 'Midnight' Le
cast	Nathan Marquardt	Karl Kruller
cast	Roan Carneiro	Marcos Santos
cast	Daniel Stevens	Francisco Barbosa
cast	Panuvat Anthony Nanakornpanom	Sun Chu
cast	Hans Marrero	Diego Santana
cast	Yves Edwards	Houston Greggs
cast	Amir Perets	Yosi
cast	Anthony Tambakis	Sparta Official
cast	Jimmy Cvetic	Tender Trap Promoter
cast	Jace Jeanes	Mike 'The Mutilator' Moore
cast	Jake Digman	Tender Trap Announcer
cast	Richard Fike	Tender Trap Referee
cast	Andre' Mason	Midnight Corner Man
cast	James Houk	State Official
cast	Aaron Kleiber	Koba Entourage #1
cast	Raymond Rowe	Koba Entourage #2
cast	Lambert R. Strayer	Koba Entourage #3
cast	Roman Vasylyshyn	Koba Entourage #4
cast	Jonathan Matthew Anik	Jonathan Matthew Anik
cast	Rashad Evans	Rashad Evans
cast	Stephan Bonnar	Stephan Bonnar
cast	Michelle Dawn Mooney	Michelle Dawn Mooney
cast	Tim Bickel	A.V. Simers
cast	Jack Fisher	Platoon Sergeant
cast	Jeff Hochendoner	Marine MP #1
cast	Armon York Williams	Marine MP #2
cast	Adam Stanley	Marine #1
cast	James Dreussi	Marine #2
cast	Kevin P. Hanley	Inspector
cast	Tammy Townsend	Zito's Wife
cast	Etta Cox	Zito's Secretary
cast	Sandy Notaro	Diner Waitress
cast	Francesca Ortenzio	Concierge
cast	Jaime Sinue Aguirre	Manny
cast	Tracy Campbell	Desk Girl
cast	Tom McCue	Taxi Cab Driver
cast	Manuel Espinosa	Warden Perez
cast	Elyse Alberts	Gambler
cast	Jason Baker	Campana Gym employee
cast	Robert Bizik	Atlantic City Gambler
cast	Rustic Bodomov	Highroller
cast	Jason Botsford	Ringside Audience
cast	Kevin Christy	Max Hall
cast	Tommy Dallace	Dragon
cast	John P. Gross	High Roller
cast	Sam Harris	Mexican Prison Guard
cast	Marki Henderson	Ringside Fight Fan
cast	William Kania	Red Carpet Photographer
cast	William James Kelly	Casino Gambler
cast	Tiffany Kemp	Bank Customer
cast	Edward Luksich	Superintendent Yorn
cast	Ed McKeever	Atlantic City VIP
cast	Roman Mitichyan	Russian Commentator
cast	Rick Montgomery Jr.	Ringsider Reporter
cast	Jeremy Moon	Event Photographer
cast	Phil Nardozzi	AA Meeting attendee
cast	Gavin O'Connor	J.J. Riley
cast	Dwayne Pintoff	Ringside Doctor
cast	Vincent Riviezzo	Casino Guest
cast	Brenna Roth	Ring Girl
cast	Michelle Vezzani	Bank Teller
cast	Paul Weaver	Ringside Official
cast	Laura Welsh	Ringside Fan
cast	James Werley	Ringside Judge
