logline	After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.
tagline	71% of the Earth's surface is covered by water. That's a lot of space to find one fish.
tagline	Sea it for the first time in 3D (2012 re-release)
tagline	Grab shell dude!
tagline	There are 3.7 trillion fish in the ocean*, they're looking for one.
tagline	Sea it.
tagline	Wet Yourself!
tagline	Fish are just like people, only flakier.
tagline	You've never seen fish prepared like this.
tagline	Come Fly With Me.
tagline	Jaws Will Drop.
tagline	From the Creators of Monsters, Inc.
