year	2012
imdb score	6.6
meta score	63
genre	Drama
keyword	marriage
keyword	russia
keyword	love
keyword	saint petersburg
keyword	train station
keyword	imperial russia
keyword	high society
keyword	dance
keyword	infidelity
keyword	son
keyword	train
keyword	fiance
keyword	kiss
keyword	marriage of convenience
keyword	sensuous kiss
keyword	male rear nudity
keyword	russian
keyword	flirting
keyword	mistress
keyword	horse
keyword	ice
keyword	rejection
keyword	crying woman
keyword	dancing
keyword	mustache
keyword	title same as book
keyword	year 1874
keyword	man in bed
keyword	theater
keyword	leo tolstoy
keyword	moscow russia
keyword	18 year old
keyword	horse race
keyword	19th century
keyword	two word title
keyword	picnic
keyword	sex scene
keyword	public humiliation
keyword	snow
keyword	woman crying
keyword	married woman
keyword	clerk
keyword	depression
keyword	unfaithful husband
keyword	male nudity
keyword	illegitimate child
keyword	childbirth
keyword	mother son relationship
keyword	marriage proposal
keyword	unfaithful wife
keyword	husband wife relationship
keyword	1870s
keyword	dead man
keyword	fiancee
keyword	baby daughter
keyword	suicide
keyword	daughter
keyword	carriage
keyword	russian literature
keyword	bare chested male
keyword	tragic death
keyword	cuckold
keyword	based on novel
keyword	character name in title
cast	Matthew Macfadyen	Oblonsky
cast	Eric MacLennan	Matvey
cast	Kelly Macdonald	Dolly
cast	Theo Morrissey	Grisha Oblonsky
cast	Cecily Morrissey	Lili Oblonsky
cast	Freya Galpin	Masha Oblonsky
cast	Octavia Morrissey	Tanya Oblonsky
cast	Beatrice Morrissey	Vasya Oblonsky
cast	Marine Battier	Mlle. Roland
cast	Keira Knightley	Anna Karenina
cast	Guro Nagelhus Schia	Annushka
cast	Aruhan Galieva	Aruhan
cast	Jude Law	Karenin
cast	Carl Grose	Korney
cast	Bryan Hands	Mikhail Slyudin
cast	Oskar McNamara	Serhoza
cast	Luke Newberry	Vasily Lukich
cast	Olivia Williams	Countess Vronsky
cast	Michael Shaeffer	Doorkeeper
cast	Domhnall Gleeson	Levin
cast	Steven Beard	Elderly Waiter
cast	Alicia Vikander	Kitty
cast	Pip Torrens	Prince Shcherbatsky
cast	Susanne Lothar	Princess Shcherbatsky
cast	Alexandra Roach	Countess Nordston
cast	Henry Lloyd-Hughes	Burisov
cast	Aaron Taylor-Johnson	Vronsky
cast	David Wilmot	Nikolai
cast	Tannishtha Chatterjee	Masha
cast	Joseph Macnab	Guards Officer
cast	Nick Holder	Stationmaster
cast	Claire Greenway	Austrian Princess
cast	Mike Shepherd	Wheel Tapper
cast	Arthur Nightingale	Oblonsky's Servant
cast	Buffy Davis	Agafia
cast	Gala Wesson	Kitchen Maid
cast	Eros Vlahos	Boris
cast	Kyle Soller	Korsunsky
cast	Sam Cox	Kapitonich
cast	Max Bennett	Petritsky
cast	Holliday Grainger	Baroness
cast	Ruth Wilson	Princess Betsy Tverskoy
