logline	Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.
tagline	Some guys just can't handle Vegas
tagline	Feel it June 5
tagline	I stole a police car?!
tagline	Am I missing a tooth?
tagline	Whose baby is this?
tagline	What happened last night?
tagline	Have you seen this man?
tagline	Where's Doug?
tagline	Where the hell is my tiger?
tagline	You mess with the wrong guy.
tagline	Well, technically I'm an escort!
tagline	Easy, tiger!
