logline	Laurie Strode is rushed to the hospital, while Sheriff Brackett and Dr. Loomis hunt the streets for Michael Myers, who has found Laurie at the Haddonfield Hospital.
tagline	More Of The Night He Came Home
tagline	He came back to finish what they'll never forget...
tagline	How do you kill what's NOT alive?
tagline	The Nightmare Isn't Over
tagline	All New. From The People Who Brought You "Halloween"... More Of The Night HE Came Home.
tagline	The Boogieman Is Back
tagline	Just when you thought it was safe to go trick or treating...
tagline	They couldn't stop him... Now he's back!
tagline	It's not only a murderer... It's an indestructible terror!
tagline	The sensational follow-up to the worldwide phenomenon. More terror, even more terrifying.
tagline	HALLOWEEN: The horror smash of the seventies! HALLOWEEN II: The horror smash of the eighties?
