logline	After discovering that an asteroid the size of Texas is going to impact Earth in less than a month, N.A.S.A. recruits a misfit team of deep core drillers to save the planet.
tagline	It's Closer Than You Think.
tagline	Heads Up!
tagline	Earth. It Was Fun While It Lasted.
tagline	The Earth's Darkest Day Will Be Man's Finest Hour
tagline	For Love. For Honor. For Mankind.
tagline	Take the Ride of Your Life!
tagline	All the time in the world is all they've got.
tagline	Prepare to Fight Like There's No Tomorrow.
tagline	School's out..... forever.
tagline	Time To Kick Some Asteroid
tagline	No more taxes...ever.
tagline	Nothing on Earth can prepare you
