logline	An angel helps a compassionate but despairingly frustrated businessman by showing what life would have been like if he never existed.
tagline	Frank Capra's..."It's a Wonderful Life".
tagline	Celebrating 65 years.
tagline	The most loved Christmas film of all time!
tagline	Original & colour versions.
tagline	Every time a bell rings, an angel gets its wings.
tagline	Frank Capra's original 'It's a Wonderful Life'.
tagline	Wonderful news...about wonderful people!...in a wonderful picture! It's a wonderful love! It's a wonderful laugh!
tagline	James Stewart and Donna Reed in Frank Capra's It's a Wonderful Life.
tagline	They're making memories tonight!
tagline	Wonderful!  Wonderful!  Wonderful!  How could it be anything else?
tagline	It's a wonderful laugh!  It's a wonderful love!
tagline	They're going steady...straight to your heart!
