year	2011
imdb score	6.1
meta score	79
genre	Drama
genre	Thriller
genre	War
keyword	husband wife relationship
keyword	exile
keyword	mother son relationship
keyword	knife
keyword	shakespeare in modern dress
keyword	shakespeare's coriolanus
keyword	ambush
keyword	general
keyword	market
keyword	modern day adaptation
keyword	treachery
keyword	blood
keyword	one word title
keyword	shakespeare
keyword	hate
keyword	tears
keyword	rome italy
keyword	betrayal
keyword	truce
keyword	consul
keyword	vote
keyword	bandage
keyword	scar
keyword	pride
keyword	rivalry
keyword	tragedy
keyword	fight
keyword	battle
keyword	flag
keyword	shakespeare play
keyword	suicide
keyword	senate
keyword	stabbing
keyword	based on play
keyword	character name in title
keyword	title spoken by character
cast	Ralph Fiennes	Caius Martius Coriolanus
cast	Gerard Butler	Tullus Aufidius
cast	Lubna Azabal	First Citizen
cast	Ashraf Barhom	Second Citizen
cast	Zoran Cica	Citizen
cast	Milos Dabic	Citizen
cast	Nicolas Isia	Citizen
cast	Zoran Miljkovic	Citizen
cast	Marija Mogbolu	Citizen
cast	Milan Perovic	Citizen
cast	Nenad Ristic	Citizen
cast	Lawrence Stevenson	Citizen
cast	Marko Stojanovic	Citizen
cast	Tamara Krcunovic	Citizen
cast	Olivera Viktorovic	Citizen
cast	Danijela Vranjes	Citizen
cast	Brian Cox	Menenius
cast	Slavko Stimac	Volsce Lieutenant
cast	Ivan Djordjevic	Young Roman Soldier
cast	Radovan Vujovic	1st Soldier
cast	Jovan Belobrkovic	2nd Soldier
cast	John Kani	General Cominius
cast	Dan Tana	1st Senator
cast	Miodrag Milovanov	2nd Senator
cast	Dragan Micanovic	Titus Lartius
cast	Radoslav Milenkovic	Volsce Politician
cast	Radomir Nikolic	1st Volsce Soldier
cast	Zoran Pajic	2nd Volsce Soldier
cast	Harry Fenn	Young Martius
cast	Jessica Chastain	Virgilia
cast	Vanessa Redgrave	Volumnia
cast	Elizabeta Djorevska	Maid
cast	Dusan Janicijevic	Old Man in Corioles
cast	Paul Jesson	Tribune Brutus
cast	James Nesbitt	Tribune Sicinius
cast	Jon Snow	TV Anchorman
cast	David Yelland	TV Pundit
cast	Nikki Amuka-Bird	TV Pundit
cast	Andreja Maricic	3rd Senator
cast	Svetislav Goncic	4th Senator
cast	Uros Zdjelar	Young Senator
cast	Bora Nenic	Cleaner in Corridor
cast	Slobodan Ninkovic	War Vet
cast	Mona Hammond	Jamaican Woman
cast	Slobodan Pavelkic	Young Man in Market
cast	Dragoljub Vojnov	Shopkeeper
cast	Kieron Jecchinis	TV War Correspondent
cast	Mirko Pantelic	Camp Barber
