logline	The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd and the treacherous, one-eyed Elle.
tagline	Revenge is a dish best served cold.
tagline	The bride is back for the final cut
tagline	This Spring, It's Not Over Til It's Over
tagline	Kill is love.
tagline	On April 16th...The Quest for Revenge Continues...
tagline	Back With A Vengeance
tagline	Here comes the bride.
tagline	She will kill Bill
tagline	Kill Bill Now
tagline	The whole thrilling tale is revealed.
