logline	After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss.
tagline	He was given an offer he couldn't refuse...
tagline	They just fucked with the wrong Mexican!
tagline	If you're going to hire Machete to kill the bad guy, you better make damn sure the bad guy isn't you!
tagline	He knows the score. He gets the women. And he kills the bad guys!
tagline	Yesterday He Was a Decent Man Living a Decent Life. Now He is a Brutal Savage Who Must Slaughter to Stay Alive.
tagline	A Pissed Off Mexican Out to Settle a Score
tagline	Lindsay Lohan as The Sister
tagline	Robert De Niro as The Senator
tagline	Danny Trejo as Machete
tagline	Michelle Rodriguez as She
tagline	Jessica Alba as Sartana
tagline	Steven Seagal as Torrez
