year	1970
imdb score	7.7
meta score	79
genre	Comedy
genre	Drama
genre	War
keyword	surgeon
keyword	mobile army surgical hospital
keyword	korean war
keyword	golf
keyword	nurse
keyword	dentist
keyword	military spoof
keyword	strait jacket
keyword	korea
keyword	war victim
keyword	draft evasion
keyword	uniform
keyword	blockbuster
keyword	blood
keyword	alcoholic
keyword	military officer
keyword	medical
keyword	anti war
keyword	blackmail
keyword	satire
keyword	m a s h
keyword	fight
keyword	reference to man o' war
keyword	racism
keyword	american
keyword	cheating
keyword	wager
keyword	practical joke
keyword	entire title is capitalized acronym
keyword	1950s
keyword	public nudity
keyword	one word title
keyword	loudspeaker
keyword	alcoholism
keyword	reference to victor mature
keyword	american football
keyword	loudspeaker announcement
keyword	shower
keyword	acronym in title
keyword	immaturity
keyword	black comedy
keyword	surgery
keyword	scene based on painting
keyword	coffin
keyword	army life
keyword	jeep
keyword	female nudity
keyword	american soldier
keyword	amputation
keyword	suicidal
keyword	blood transfusion
keyword	military
keyword	war injury
keyword	eavesdropping
keyword	syringe
keyword	adultery
keyword	clairvoyant
keyword	ignorance
keyword	army nurse
keyword	cult film
keyword	fantasy sequence
keyword	based on novel
keyword	title spoken by character
cast	Donald Sutherland	Hawkeye Pierce
cast	Elliott Gould	Trapper John McIntyre
cast	Tom Skerritt	Duke Forrest
cast	Sally Kellerman	'Hot Lips' O'Houlihan
cast	Robert Duvall	Maj. Frank Burns
cast	Roger Bowen	Col. Henry Blake
cast	Rene Auberjonois	Father John Mulcahy
cast	David Arkin	Sgt. Major Vollmer
cast	Jo Ann Pflug	Lt. 'Dish'
cast	Gary Burghoff	Corporal 'Radar' O'Reilly
cast	Fred Williamson	Dr. Oliver 'Spearchucker' Jones
cast	Michael Murphy	'Me Lai' Marston
cast	Indus Arthur	Lt. Leslie
cast	Ken Prymus	PFC. Seidman
cast	Bobby Troup	Sgt. Gorman
cast	Kim Atwood	Ho-Jon
cast	Timothy Brown	Cpl. Judson
cast	John Schuck	Capt. 'Painless' Waldowski
cast	Dawne Damon	Capt. Storch
cast	Carl Gottlieb	'Ugly John'
cast	Tamara Wilcox-Smith	Capt. 'Knocko'
cast	G. Wood	Gen. Hammond
cast	Bud Cort	Pvt. Boone
cast	Danny Goldman	Capt. Murrhardt
cast	Corey Fischer	Capt. Bandini
cast	Stephen Altman	Duke's 5-Year-Old Son
cast	Joe Amsler	Undetermined Role
cast	Carrell Balderston	Football Player
cast	William Ballard	Football Player
cast	Terry Belmore	Football Player
cast	Steven Bewley	Football Player
cast	Stanford Blum	Football Player
cast	Tommy Brown	Football Player - 325th Evac.
cast	Michael Bruce	Football Player
cast	Buck Buchanan	Football Player - 325th Evac.
cast	Jim Burger	Football Player
cast	Norma Burkus	Cheerleader
cast	Sal Centeno	Football Player
cast	David Chambliss	Minor Role
cast	Craig Chudy	Football Player
cast	Jack Concannon	Football Player - 325th Evac.
cast	Jim Connors	Undetermined Role
cast	Michael Consoldane	Football Player - 325th Evac.
