year	1999
imdb score	6.5
meta score	28
genre	Comedy
keyword	beauty pageant
keyword	small town
keyword	mental retardation
keyword	fake documentary
keyword	miss america song spoof
keyword	sign language
keyword	swan
keyword	cadaver
keyword	farce
keyword	pedophile
keyword	mock documentary
keyword	high school wrestling
keyword	asian american
keyword	undertaker
keyword	family relationships
keyword	stereotype
keyword	strauss also sprach zarathustra
keyword	black comedy
keyword	arm amputation
keyword	corruption
keyword	teen movie
keyword	funeral
keyword	trailer trash
keyword	what happened to epilogue
keyword	deaf
keyword	catfight
keyword	funny accent
keyword	lingerie slip
keyword	mentally impaired
cast	Kirsten Dunst	Amber Atkins
cast	Ellen Barkin	Annette Atkins
cast	Allison Janney	Loretta
cast	Denise Richards	Rebecca 'Becky' Ann Leeman
cast	Kirstie Alley	Gladys Leeman
cast	Sam McMurray	Lester Leeman
cast	Mindy Sterling	Iris Clark
cast	Brittany Murphy	Lisa Swenson
cast	Amy Adams	Leslie Miller
cast	Laurie A. Sinclair	Michelle Johnson
cast	Shannon Nelson	Tess Weinhaus
cast	Tara Redepenning	Molly Howard
cast	Sarah Stewart	Jenelle Betz
cast	Alexandra Holden	Mary Johanson
cast	Brooke Elise Bushman	Tammy Curry
cast	Matt Malloy	John Dough, Judge #1
cast	Michael McShane	Harold Vilmes, Judge #2
cast	Will Sasso	Hank Vilmes
cast	Lona Williams	Jean Kangas, Judge #3
cast	John T. Olson	Pat
cast	Casey Garven	Brett Clemmens
cast	Ashley Dylan Bullard	Fry Girl
cast	Jacy King	Pregnant Fry Girl
cast	Nora Dunn	Colleen Douglas, State Pagent
cast	Mo Gaffney	Terry Macy, State Pagent
cast	Adam West	Adam West
cast	Mary Gillis	Chloris Klinghagen
cast	Richard Narita	Mr. Howard
cast	Patti Yasutake	Mrs. Howard
cast	Seiko Matsuda	Tina / Seiko Howard
cast	Allyson Kearns	Candy Striper
cast	Tom Gilshannon	Lars Larson
cast	Claudia Wilkens	Iona Hildebrandt, 1945 Winner
cast	Dale Dunham	Mount Rose Mayor
cast	Amanda Detmer	Miss Minneapolis
cast	Thomas Lennon	Documentarian
cast	Eric D. Howell	Sound Recordist
cast	Matthew G. Park	Crew Guy
cast	Terry Hempleman	Cop #1
cast	Chris Carlson	Cop #2
cast	James Cada	Lisa Swenson's Father
cast	Kristin Rudrüd	Connie Rudrüd, the Pork Products Lady
cast	Luke Ingles	Rocker Kid #1
cast	Nick Ingles	Rocker Kid #2
cast	Jimmie D. Wright	Doctor
cast	Peter Aitchinson	Male News Anchor
cast	Mary Rehbein	Female Reporter #1
cast	Jeany Park	Female Reporter #2
cast	Richard Ooms	Pastor
cast	Robert-Bruce Brake	Mr. Melchoir
cast	Bruce Linser	Ed
cast	Tiffany Engen	Tap Dancer
cast	Jennifer Baldwin Peden	Opera Singer
cast	Annalise Nelson	Violinist
cast	Samantha Harris	Miss Burnsville
cast	Kari Ann Shiff	Miss Duluth
cast	Mark Dahlen	COPS Crew Guy
cast	Jeff Tatum	Fireman
cast	Paul Cram	Beauty Pageant Fan
cast	Amy Lithander	Fry Girl
cast	Josh Minnie	Trailer Park Resident
cast	Emily Moore	Miss Buffalo
cast	Jamie Olsen	Peter
cast	Robb Ross	Swat Cop
cast	Darla Rothman	Prom Queen
cast	Joel Thingvall	Beauty Pageant Fan
cast	Lisa Woods	Beauty Pageant Fan
