logline	A young, abused and timid 17-year-old girl discovers she has telekinesis, and gets pushed to the limit on the night of her school's prom by a humiliating prank.
tagline	You were warned never to push Carrie to the limits. Now you must face the evil consequences.
tagline	Take Carrie to the prom. I dare you!
tagline	Carrie may look perfectly innocent but she'll SHOCK you right out of your seat...and that's a promise!
tagline	A chilling blend of AMERICAN GRAFFITI and PSYCHO.
tagline	If You've Got A Taste For Terror... Take Carrie To The Prom.
tagline	If only they knew she had the power.
tagline	If you got a taste for terror, than you have a date with Carrie.
tagline	If you've got a taste for terror you have a date with.... (Australia)
tagline	If You've Got A Taste For Terror . . . Take Carrie To The Party. (Great Britian)
tagline	If THE EXORCIST made you shudder, CARRIE will make you scream.
